Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Cluster
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,96,29.5,7.4,18.9,29.8,20.7,38.6,Mrirt,59,Moderate,2,Good,16,Good,4,Good,59,Moderate,"(2, 5)"
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,87,31.2,8.7,20.4,29.0,31.8,37.2,Artyom,48,Good,1,Good,35,Good,0,Good,48,Good,"(3, 6)"
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,54,41.8,13.4,28.1,32.2,37.1,25.4,Riyaq,78,Moderate,1,Good,46,Good,1,Good,78,Moderate,"(5, 8)"
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,107,26.7,7.7,17.6,33.4,13.5,31.7,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,"(1, 6)"
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,85,31.7,12.3,22.4,36.8,20.6,73.3,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,"(0, 5)"
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,72,37.3,16.9,27.5,34.6,35.3,10.5,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate,"(4, 6)"
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,66,38.3,10.3,24.9,38.2,34.7,68.4,Jambol,40,Good,1,Good,40,Good,0,Good,32,Good,"(2, 8)"
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,90,30.9,10.2,21.0,33.9,26.9,18.4,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups,"(1, 3)"
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,112,25.5,3.5,15.0,25.6,16.2,25.4,Tansen,120,Unhealthy for Sensitive Groups,3,Good,72,Moderate,0,Good,120,Unhealthy for Sensitive Groups,"(0, 3)"
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,57,41.2,7.2,24.9,37.1,34.8,45.5,Aydun,88,Moderate,1,Good,62,Moderate,2,Good,88,Moderate,"(5, 8)"
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,78,34.5,11.5,23.5,29.7,29.5,102.8,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,"(4, 7)"
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,53,42.1,10.6,27.0,42.0,35.7,39.9,Gramsh,68,Moderate,1,Good,39,Good,1,Good,68,Moderate,"(4, 9)"
